participant,feature,n_obs,pearson_r,ci_95_low,ci_95_high,p_value_raw,p_value_fdr
2,emotion_diversity,6,0.4286,-0.6139,0.9491,0.396501,0.660836
2,non_neutral_percent,6,-0.6379,-0.9992,0.2729,0.172974,0.621627
2,positive_percent,6,-0.5264,-0.9879,0.763,0.283288,0.643836
2,negative_percent,6,-0.1016,-0.988,0.9283,0.848062,0.906722
2,neutral_percent,6,0.6379,-0.2729,0.9992,0.172974,0.621627
2,happy_percent,6,,,,,
2,sad_percent,6,0.5855,0.3162,0.9806,0.222068,0.621627
2,surprise_percent,6,-0.5264,-0.9879,0.763,0.283288,0.643836
2,fear_percent,6,0.0962,-0.7071,0.9333,0.856079,0.906722
2,disgust_percent,6,-0.3179,-0.9993,0.0935,0.539269,0.793043
2,angry_percent,6,,,,,
2,short_blink_percent,6,0.0623,-0.98,0.9953,0.906722,0.906722
2,medium_blink_percent,6,-0.1182,-0.9953,0.9803,0.823583,0.906722
2,long_blink_percent,6,0.7777,0.6712,1.0,0.068606,0.621627
2,short_fixation_low_disp_percent,6,0.083,-0.9968,0.9487,0.875717,0.906722
2,short_fixation_high_disp_percent,6,-0.083,-0.9487,0.9968,0.875717,0.906722
2,medium_fixation_low_disp_percent,6,0.4546,-0.9112,0.9897,0.365117,0.651995
2,medium_fixation_high_disp_percent,6,-0.4546,-0.9897,0.9112,0.365117,0.651995
2,long_fixation_low_disp_percent,6,0.2343,-0.9955,0.965,0.654971,0.861804
2,long_fixation_high_disp_percent,6,-0.2343,-0.965,0.9955,0.654971,0.861804
2,small_pupil_percent,6,0.4913,-0.8893,0.9711,0.32237,0.651995
2,medium_pupil_percent,6,-0.688,-1.0,0.8609,0.130826,0.621627
2,large_pupil_percent,6,0.5838,-0.8728,0.9946,0.223786,0.621627
2,ecg_heart_rate,6,-0.65,-0.9993,0.1074,0.162347,0.621627
2,ecg_sdnn,6,0.6072,0.1412,0.9903,0.201144,0.621627
2,ecg_rmssd,6,0.7481,0.4448,0.9969,0.087193,0.621627
2,ecg_pnn50,6,0.3196,-0.5303,0.9501,0.536949,0.793043
3,emotion_diversity,4,,,,,
3,non_neutral_percent,4,-0.3291,-1.0,1.0,0.670868,0.938362
3,positive_percent,4,-0.5333,-1.0,-0.4178,0.466743,0.886812
3,negative_percent,4,0.7959,0.6925,1.0,0.204108,0.886812
3,neutral_percent,4,0.3291,-1.0,1.0,0.670868,0.938362
3,happy_percent,4,,,,,
3,sad_percent,4,,,,,
3,surprise_percent,4,-0.5333,-1.0,-0.4178,0.466743,0.886812
3,fear_percent,4,0.7706,0.6387,1.0,0.229421,0.886812
3,disgust_percent,4,0.3245,-1.0,1.0,0.675467,0.938362
3,angry_percent,4,,,,,
3,short_blink_percent,4,0.9235,0.9181,1.0,0.076497,0.726722
3,medium_blink_percent,4,-0.7465,-1.0,-0.6281,0.253452,0.886812
3,long_blink_percent,4,0.6351,0.4588,1.0,0.364901,0.886812
3,short_fixation_low_disp_percent,4,-0.075,-1.0,1.0,0.92499,0.938362
3,short_fixation_high_disp_percent,4,0.075,-1.0,1.0,0.92499,0.938362
3,medium_fixation_low_disp_percent,4,-0.1878,-1.0,1.0,0.812236,0.938362
3,medium_fixation_high_disp_percent,4,0.1878,-1.0,1.0,0.812236,0.938362
3,long_fixation_low_disp_percent,4,-0.6142,-1.0,-0.4534,0.385772,0.886812
3,long_fixation_high_disp_percent,4,0.6142,0.4534,1.0,0.385772,0.886812
3,small_pupil_percent,4,0.1096,-1.0,1.0,0.890443,0.938362
3,medium_pupil_percent,4,-0.0616,-1.0,1.0,0.938362,0.938362
3,large_pupil_percent,4,-0.9969,-1.0,-0.996,0.003105,0.058995
3,ecg_heart_rate,0,,,,,
3,ecg_sdnn,0,,,,,
3,ecg_rmssd,0,,,,,
3,ecg_pnn50,0,,,,,
4,emotion_diversity,6,-0.714,-1.0,-0.1104,0.110988,0.906049
4,non_neutral_percent,6,0.0304,-0.8784,0.9841,0.9544,0.9544
4,positive_percent,6,-0.1785,-0.9191,0.8575,0.735038,0.906049
4,negative_percent,6,0.0499,-0.8775,0.9394,0.925168,0.9544
4,neutral_percent,6,-0.0304,-0.9841,0.8784,0.9544,0.9544
4,happy_percent,6,-0.6102,-0.9944,-0.5215,0.19833,0.906049
